client_number,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio
808897683,"Attrited Customer",53,M,Graduate,Single,"$80K - $120K",Blue,30271,1406,0.046
718939083,"Attrited Customer",54,F,Graduate,Married,"Less than $40K",Blue,1438,306,0.213
712979133,"Attrited Customer",55,M,"High School",Married,"$80K - $120K",Blue,27560,900,0.033
720071583,"Attrited Customer",48,F,Unknown,Married,"Less than $40K",Blue,7151,800,0.112
812420358,"Attrited Customer",61,F,Graduate,Married,"Less than $40K",Blue,2122,554,0.261
798792408,"Attrited Customer",48,M,"High School",Married,"$80K - $120K",Blue,9959,0,0
711204483,"Attrited Customer",56,M,"High School",Married,"$60K - $80K",Blue,2340,1930,0.825
713945883,"Attrited Customer",62,F,Graduate,Married,"Less than $40K",Blue,2490,513,0.206
789513858,"Attrited Customer",43,M,Unknown,Married,"$40K - $60K",Blue,1438,0,0
771963708,"Attrited Customer",56,M,Unknown,Married,"$60K - $80K",Blue,12248,0,0
712433508,"Attrited Customer",59,F,Unknown,Married,Unknown,Blue,1438,0,0
778506633,"Attrited Customer",43,F,College,Married,"Less than $40K",Blue,7706,392,0.051
713530833,"Attrited Customer",58,M,Graduate,Married,"$40K - $60K",Blue,4085,2238,0.548
778699908,"Attrited Customer",43,M,Uneducated,Married,"$60K - $80K",Blue,14447,0,0
716991933,"Attrited Customer",53,F,Uneducated,Single,"Less than $40K",Blue,9786,0,0
802002858,"Attrited Customer",62,F,"High School",Married,Unknown,Blue,8990,0,0
712373208,"Attrited Customer",43,M,Doctorate,Single,"$60K - $80K",Blue,3312,0,0
708455883,"Attrited Customer",57,M,Graduate,Single,"$80K - $120K",Blue,10244,861,0.084
763895958,"Attrited Customer",53,M,"High School",Married,"$120K +",Blue,7474,0,0
711927108,"Attrited Customer",54,M,"High School",Married,"$80K - $120K",Blue,9457,350,0.037
711147483,"Attrited Customer",46,F,Graduate,Single,"Less than $40K",Blue,8551,1067,0.125
720990183,"Attrited Customer",54,M,"High School",Married,"$60K - $80K",Blue,14539,0,0
716608608,"Attrited Customer",41,M,Uneducated,Married,"$80K - $120K",Blue,8004,1452,0.181
788673708,"Attrited Customer",57,F,"High School",Married,"$40K - $60K",Blue,1438,0,0
816600933,"Attrited Customer",56,M,College,Married,"$80K - $120K",Blue,14501,0,0
714208533,"Attrited Customer",43,M,"High School",Married,"$60K - $80K",Blue,8663,288,0.033
720426708,"Attrited Customer",56,M,"High School",Single,"$60K - $80K",Blue,8512,0,0
708983658,"Attrited Customer",51,M,Uneducated,Single,"$120K +",Blue,16868,0,0
778663458,"Attrited Customer",65,M,"High School",Married,"Less than $40K",Blue,1759,0,0
716024808,"Attrited Customer",57,M,Graduate,Married,"$80K - $120K",Blue,4829,2418,0.501
721249158,"Attrited Customer",42,M,Uneducated,Single,"$60K - $80K",Blue,6414,0,0
713845083,"Attrited Customer",41,F,"High School",Single,"Less than $40K",Blue,4203,2517,0.599
813499458,"Attrited Customer",45,M,"High School",Unknown,"$60K - $80K",Blue,1438,0,0
712240083,"Attrited Customer",38,F,Unknown,Single,"Less than $40K",Blue,3730,2517,0.675
772532208,"Attrited Customer",51,F,Doctorate,Married,"Less than $40K",Blue,6630,916,0.138
778929783,"Attrited Customer",40,M,Graduate,Divorced,"$80K - $120K",Blue,1925,0,0
713053383,"Attrited Customer",42,M,Graduate,Married,"$80K - $120K",Blue,34516,781,0.023
803595858,"Attrited Customer",56,F,"High School",Married,"$40K - $60K",Blue,1438,0,0
710754933,"Attrited Customer",61,F,Graduate,Married,"Less than $40K",Blue,1438,0,0
720007383,"Attrited Customer",41,F,Unknown,Single,Unknown,Blue,4411,2517,0.571
718362783,"Attrited Customer",35,M,Graduate,Married,"$80K - $120K",Blue,12643,0,0
708856983,"Attrited Customer",36,M,Post-Graduate,Married,"$120K +",Blue,13873,0,0
709961958,"Attrited Customer",58,F,"High School",Divorced,Unknown,Blue,21065,2517,0.119
717412608,"Attrited Customer",38,F,"High School",Married,"$40K - $60K",Blue,7225,0,0
712120608,"Attrited Customer",35,M,College,Married,"$80K - $120K",Blue,3575,1884,0.527
710899833,"Attrited Customer",36,M,Graduate,Married,"$40K - $60K",Blue,7758,1408,0.181
739594758,"Attrited Customer",51,F,Graduate,Single,"Less than $40K",Blue,3181,2517,0.791
714078558,"Attrited Customer",62,F,"High School",Married,"$40K - $60K",Blue,5249,0,0
779216358,"Attrited Customer",48,M,College,Married,"$80K - $120K",Blue,2111,0,0
712924383,"Attrited Customer",55,M,Unknown,Single,"$60K - $80K",Blue,8411,979,0.116
714983283,"Attrited Customer",39,F,"High School",Single,"Less than $40K",Blue,3651,0,0
710406633,"Attrited Customer",51,F,Uneducated,Married,Unknown,Blue,3664,0,0
709991883,"Attrited Customer",53,M,Graduate,Married,"$80K - $120K",Blue,6214,1147,0.185
809951133,"Attrited Customer",54,M,College,Single,"$120K +",Blue,34516,0,0
720141408,"Attrited Customer",49,F,Graduate,Single,"Less than $40K",Blue,5456,951,0.174
768490458,"Attrited Customer",49,M,Uneducated,Married,"$80K - $120K",Blue,5701,2517,0.442
712196508,"Attrited Customer",46,F,"High School",Single,Unknown,Blue,29543,1164,0.039
711159108,"Attrited Customer",58,F,"High School",Married,"Less than $40K",Blue,7418,396,0.053
713206683,"Attrited Customer",40,M,Graduate,Single,"$80K - $120K",Silver,34516,0,0
778388358,"Attrited Customer",56,M,Graduate,Single,"$60K - $80K",Blue,4742,855,0.18
779722308,"Attrited Customer",45,F,"High School",Married,"$40K - $60K",Blue,12355,0,0
713823033,"Attrited Customer",31,F,Unknown,Married,Unknown,Blue,8149,0,0
787515333,"Attrited Customer",40,M,Uneducated,Married,"$80K - $120K",Blue,3616,1151,0.318
710819733,"Attrited Customer",56,M,Graduate,Married,"$120K +",Blue,12211,0,0
818375733,"Attrited Customer",51,F,College,Married,"$40K - $60K",Blue,4882,695,0.142
709707033,"Attrited Customer",45,M,Graduate,Single,"$60K - $80K",Blue,13162,0,0
721178583,"Attrited Customer",37,F,Graduate,Unknown,Unknown,Blue,5674,0,0
771544533,"Attrited Customer",42,F,"High School",Married,Unknown,Blue,3578,0,0
708927108,"Attrited Customer",53,M,Graduate,Married,"$120K +",Blue,12778,507,0.04
711772008,"Attrited Customer",35,F,Graduate,Single,"Less than $40K",Blue,1890,666,0.352
708799983,"Attrited Customer",40,M,Post-Graduate,Married,"$60K - $80K",Blue,18386,890,0.048
718418958,"Attrited Customer",30,M,Post-Graduate,Divorced,"Less than $40K",Blue,5061,0,0
821179233,"Attrited Customer",50,F,Post-Graduate,Single,"$40K - $60K",Blue,1493,932,0.624
813752433,"Attrited Customer",43,F,Graduate,Single,"Less than $40K",Blue,4075,1986,0.487
708083283,"Attrited Customer",58,M,Unknown,Single,"$40K - $60K",Blue,3421,2517,0.736
806407308,"Attrited Customer",54,F,College,Single,Unknown,Blue,13184,0,0
758583708,"Attrited Customer",37,F,Graduate,Single,"Less than $40K",Blue,2802,2460,0.878
721003008,"Attrited Customer",36,F,Graduate,Married,"Less than $40K",Blue,3261,2517,0.772
778708533,"Attrited Customer",26,F,"High School",Single,"$40K - $60K",Blue,1730,1616,0.934
720122808,"Attrited Customer",52,M,"High School",Married,"$60K - $80K",Silver,33180,511,0.015
713259858,"Attrited Customer",26,M,"High School",Single,"$40K - $60K",Blue,3324,0,0
716053083,"Attrited Customer",33,M,Graduate,Married,"$120K +",Blue,27992,0,0
709537683,"Attrited Customer",37,M,College,Married,"$80K - $120K",Blue,11638,926,0.08
790145733,"Attrited Customer",40,M,College,Single,"$80K - $120K",Silver,34516,0,0
711509658,"Attrited Customer",61,M,Graduate,Married,"$120K +",Blue,11374,2517,0.221
719818983,"Attrited Customer",39,M,College,Divorced,"$80K - $120K",Blue,12464,0,0
804668658,"Attrited Customer",26,F,Uneducated,Single,"Less than $40K",Blue,1438,0,0
720610008,"Attrited Customer",59,M,College,Married,"$120K +",Blue,15796,812,0.051
771028533,"Attrited Customer",48,F,Post-Graduate,Married,"Less than $40K",Silver,10357,0,0
819610908,"Attrited Customer",38,M,Uneducated,Single,"$80K - $120K",Blue,32938,2089,0.063
816013383,"Attrited Customer",65,F,Graduate,Divorced,"Less than $40K",Blue,6184,0,0
808273533,"Attrited Customer",39,M,"High School",Single,"$60K - $80K",Blue,1818,0,0
785011383,"Attrited Customer",36,F,Uneducated,Divorced,"$40K - $60K",Blue,2190,0,0
716382708,"Attrited Customer",46,F,Graduate,Single,"Less than $40K",Blue,8309,858,0.103
711224733,"Attrited Customer",32,M,"High School",Married,"$120K +",Blue,22382,0,0
791856033,"Attrited Customer",45,M,College,Divorced,"$80K - $120K",Blue,34516,0,0
716448783,"Attrited Customer",48,F,Graduate,Married,"$40K - $60K",Blue,6235,0,0
708892833,"Attrited Customer",37,M,Graduate,Married,"$120K +",Blue,13662,0,0
719318583,"Attrited Customer",37,M,"High School",Married,"Less than $40K",Blue,6866,2389,0.348
720504633,"Attrited Customer",46,M,Uneducated,Unknown,"$60K - $80K",Blue,3254,0,0
711357858,"Attrited Customer",47,F,Graduate,Single,"Less than $40K",Blue,7246,0,0
711816108,"Attrited Customer",40,M,"High School",Single,"$80K - $120K",Blue,18563,0,0
713663508,"Attrited Customer",58,M,"High School",Unknown,"$40K - $60K",Blue,1438,0,0
789777408,"Attrited Customer",26,F,Post-Graduate,Single,"Less than $40K",Blue,1442,1428,0.99
718577958,"Attrited Customer",39,M,Uneducated,Married,"$120K +",Blue,8906,0,0
717664008,"Attrited Customer",37,M,College,Married,"$60K - $80K",Blue,3100,2517,0.812
711562833,"Attrited Customer",35,M,Graduate,Married,"$80K - $120K",Blue,12634,0,0
720181758,"Attrited Customer",37,M,Doctorate,Married,"$120K +",Blue,8654,0,0
720427683,"Attrited Customer",58,M,Uneducated,Single,"$120K +",Blue,16163,0,0
711692508,"Attrited Customer",54,F,Post-Graduate,Married,"Less than $40K",Blue,1438,0,0
717930483,"Attrited Customer",37,M,Graduate,Single,"$120K +",Blue,5616,0,0
715651833,"Attrited Customer",65,M,Unknown,Single,"Less than $40K",Blue,2351,0,0
715517733,"Attrited Customer",46,F,"High School",Single,"Less than $40K",Silver,13092,1962,0.15
778693458,"Attrited Customer",32,M,"High School",Divorced,"$60K - $80K",Blue,12616,0,0
712551258,"Attrited Customer",39,M,Uneducated,Married,"Less than $40K",Blue,4247,0,0
709564683,"Attrited Customer",32,M,Graduate,Married,"$40K - $60K",Blue,4739,0,0
772292358,"Attrited Customer",30,M,College,Divorced,"Less than $40K",Blue,7970,0,0
713021208,"Attrited Customer",55,F,College,Single,Unknown,Silver,34516,0,0
713104458,"Attrited Customer",46,M,Graduate,Single,"$40K - $60K",Blue,7869,0,0
715366083,"Attrited Customer",52,F,Doctorate,Single,"Less than $40K",Blue,1438,978,0.68
716244033,"Attrited Customer",44,M,Graduate,Married,"$40K - $60K",Blue,7266,906,0.125
787463508,"Attrited Customer",26,M,Graduate,Single,"Less than $40K",Blue,2469,2410,0.976
778381608,"Attrited Customer",48,M,Doctorate,Single,"$80K - $120K",Blue,6572,417,0.063
710586483,"Attrited Customer",26,F,"High School",Single,Unknown,Blue,6152,0,0
709164408,"Attrited Customer",32,M,Uneducated,Married,"Less than $40K",Blue,2218,1696,0.765
709785783,"Attrited Customer",35,F,Graduate,Single,"Less than $40K",Blue,2300,0,0
720185058,"Attrited Customer",46,M,Graduate,Married,"$60K - $80K",Blue,4267,0,0
717813558,"Attrited Customer",57,F,"High School",Single,Unknown,Blue,8389,1960,0.234
719470458,"Attrited Customer",46,M,College,Single,"$80K - $120K",Blue,4026,243,0.06
715319958,"Attrited Customer",48,M,Uneducated,Married,"$120K +",Blue,34516,787,0.023
714412308,"Attrited Customer",33,M,Graduate,Married,"$80K - $120K",Blue,7140,0,0
721243083,"Attrited Customer",55,M,Uneducated,Divorced,"$80K - $120K",Blue,34516,2408,0.07
798022683,"Attrited Customer",43,M,Graduate,Married,"$80K - $120K",Blue,25517,321,0.013
716112933,"Attrited Customer",39,F,Graduate,Married,Unknown,Blue,1575,592,0.376
789853533,"Attrited Customer",54,M,"High School",Married,"$40K - $60K",Blue,3032,0,0
806256333,"Attrited Customer",41,M,Graduate,Unknown,"$60K - $80K",Blue,1438,312,0.217
719146008,"Attrited Customer",48,M,Graduate,Married,"$80K - $120K",Blue,18672,2517,0.135
720693033,"Attrited Customer",33,M,Unknown,Married,"$60K - $80K",Blue,8925,168,0.019
712784058,"Attrited Customer",45,F,"High School",Divorced,Unknown,Blue,17156,2517,0.147
789963033,"Attrited Customer",54,F,Graduate,Single,"Less than $40K",Blue,1438,0,0
827984658,"Attrited Customer",49,M,Post-Graduate,Married,"$80K - $120K",Blue,23870,0,0
716331408,"Attrited Customer",52,F,Unknown,Married,"Less than $40K",Blue,2143,0,0
710524533,"Attrited Customer",38,F,College,Married,"$40K - $60K",Blue,4913,2517,0.512
709413933,"Attrited Customer",56,M,"High School",Single,"$40K - $60K",Blue,2381,651,0.273
714967233,"Attrited Customer",52,M,Doctorate,Married,"$120K +",Blue,11188,0,0
787460883,"Attrited Customer",41,M,Uneducated,Married,"$40K - $60K",Blue,11091,0,0
709206333,"Attrited Customer",44,F,Graduate,Single,"$40K - $60K",Blue,4333,0,0
821149008,"Attrited Customer",52,M,Graduate,Single,"$80K - $120K",Blue,34516,0,0
772273983,"Attrited Customer",48,M,Uneducated,Single,"$40K - $60K",Blue,5268,2191,0.416
719902908,"Attrited Customer",51,M,Unknown,Married,"$80K - $120K",Blue,5130,0,0
709163358,"Attrited Customer",41,M,Unknown,Single,"$60K - $80K",Gold,34516,2517,0.073
708139833,"Attrited Customer",40,M,Graduate,Unknown,"$60K - $80K",Blue,6391,0,0
827476983,"Attrited Customer",56,F,College,Single,"Less than $40K",Blue,3639,2178,0.599
708563433,"Attrited Customer",65,F,"High School",Single,Unknown,Blue,5894,477,0.081
738627708,"Attrited Customer",49,F,Unknown,Single,Unknown,Blue,5984,0,0
771833433,"Attrited Customer",49,M,"High School",Married,"$80K - $120K",Blue,29893,0,0
828291858,"Attrited Customer",38,M,College,Single,"$60K - $80K",Blue,12050,1821,0.151
720725058,"Attrited Customer",51,F,Graduate,Single,"Less than $40K",Blue,7176,0,0
711935283,"Attrited Customer",55,M,Post-Graduate,Single,"$80K - $120K",Blue,1438,0,0
716950758,"Attrited Customer",46,M,"High School",Married,"$60K - $80K",Blue,8017,0,0
715570533,"Attrited Customer",48,M,Post-Graduate,Unknown,"$120K +",Blue,34516,0,0
721532583,"Attrited Customer",45,M,Graduate,Married,"$80K - $120K",Blue,12250,2165,0.177
712623258,"Attrited Customer",42,F,Graduate,Married,"Less than $40K",Blue,5505,2517,0.457
720508233,"Attrited Customer",62,M,Unknown,Single,"$40K - $60K",Silver,17161,0,0
716387733,"Attrited Customer",49,M,Graduate,Single,"$60K - $80K",Blue,5662,1484,0.262
788739633,"Attrited Customer",38,M,Unknown,Married,"$120K +",Blue,2106,238,0.113
720758808,"Attrited Customer",38,M,College,Single,"$60K - $80K",Blue,16317,0,0
715858008,"Attrited Customer",49,F,Uneducated,Married,"$40K - $60K",Blue,8061,2517,0.312
813053733,"Attrited Customer",53,M,Unknown,Single,"$120K +",Blue,34516,278,0.008
720529308,"Attrited Customer",63,M,"High School",Single,"$60K - $80K",Blue,1856,0,0
710658483,"Attrited Customer",47,M,Graduate,Unknown,"$40K - $60K",Blue,9080,2174,0.239
710278458,"Attrited Customer",52,M,"High School",Single,"$80K - $120K",Blue,11617,2517,0.217
811035483,"Attrited Customer",47,M,Uneducated,Divorced,"$120K +",Silver,34516,0,0
807593058,"Attrited Customer",41,F,Unknown,Single,"$40K - $60K",Blue,5317,0,0
788030208,"Attrited Customer",42,F,Uneducated,Single,"Less than $40K",Silver,13453,2517,0.187
720379533,"Attrited Customer",47,M,Unknown,Unknown,"$120K +",Blue,3952,0,0
720983733,"Attrited Customer",44,M,Unknown,Single,"$60K - $80K",Blue,15422,864,0.056
719099583,"Attrited Customer",42,M,Graduate,Married,"$40K - $60K",Blue,1640,1444,0.88
710654808,"Attrited Customer",46,M,Graduate,Single,"$80K - $120K",Blue,1818,0,0
711196458,"Attrited Customer",38,F,Unknown,Married,"Less than $40K",Blue,1621,580,0.358
709224033,"Attrited Customer",53,M,Uneducated,Single,"$60K - $80K",Blue,13720,0,0
804673308,"Attrited Customer",49,M,Uneducated,Married,"$40K - $60K",Blue,3893,0,0
767784708,"Attrited Customer",48,M,Doctorate,Married,"$60K - $80K",Blue,7277,504,0.069
716573058,"Attrited Customer",54,F,Doctorate,Unknown,"Less than $40K",Blue,1438,0,0
716977758,"Attrited Customer",44,F,Uneducated,Married,"Less than $40K",Blue,3675,2517,0.685
817889583,"Attrited Customer",61,F,Graduate,Single,"$40K - $60K",Blue,9721,0,0
717242058,"Attrited Customer",43,F,Graduate,Married,"Less than $40K",Blue,3981,0,0
716306583,"Attrited Customer",64,M,Graduate,Single,"Less than $40K",Blue,3812,2517,0.66
721233033,"Attrited Customer",50,M,"High School",Single,"$80K - $120K",Blue,4915,464,0.094
779502333,"Attrited Customer",50,M,Graduate,Single,"$120K +",Silver,34516,0,0
803124408,"Attrited Customer",41,F,Unknown,Married,Unknown,Blue,11538,0,0
789964983,"Attrited Customer",45,M,Graduate,Divorced,"$40K - $60K",Blue,9569,0,0
709297608,"Attrited Customer",38,M,College,Single,"$80K - $120K",Blue,1438,0,0
817977933,"Attrited Customer",63,F,Graduate,Single,"Less than $40K",Blue,1931,1531,0.793
714629358,"Attrited Customer",54,F,Graduate,Divorced,"$40K - $60K",Blue,4948,0,0
711538758,"Attrited Customer",39,M,Graduate,Single,"$60K - $80K",Blue,24657,633,0.026
719987733,"Attrited Customer",51,F,Unknown,Single,"$40K - $60K",Blue,5026,0,0
719657583,"Attrited Customer",44,M,Graduate,Married,"$40K - $60K",Blue,9502,2457,0.259
789713208,"Attrited Customer",62,F,Doctorate,Single,"Less than $40K",Blue,2936,326,0.111
715371108,"Attrited Customer",45,M,Graduate,Married,"$80K - $120K",Blue,3728,0,0
796903083,"Attrited Customer",47,F,Doctorate,Married,"$40K - $60K",Blue,1438,0,0
772137183,"Attrited Customer",52,M,Graduate,Single,"$120K +",Blue,31668,810,0.026
821768658,"Attrited Customer",52,M,Unknown,Single,"$120K +",Blue,13114,2247,0.171
812449758,"Attrited Customer",43,M,"High School",Single,"$60K - $80K",Blue,12254,0,0
815085708,"Attrited Customer",60,F,"High School",Single,"$40K - $60K",Blue,10882,2517,0.231
715485483,"Attrited Customer",39,F,Graduate,Married,"Less than $40K",Blue,3664,0,0
794560833,"Attrited Customer",47,F,Graduate,Married,"$40K - $60K",Blue,5496,0,0
718197108,"Attrited Customer",54,M,Graduate,Single,"$80K - $120K",Blue,12342,0,0
710333883,"Attrited Customer",48,M,Graduate,Married,"$60K - $80K",Blue,8808,390,0.044
789177333,"Attrited Customer",47,F,Graduate,Married,"Less than $40K",Blue,1693,1088,0.643
711079308,"Attrited Customer",40,M,Graduate,Married,"$60K - $80K",Blue,15186,0,0
708733983,"Attrited Customer",50,F,Doctorate,Single,"$40K - $60K",Blue,5349,2391,0.447
711205758,"Attrited Customer",45,M,College,Single,"$80K - $120K",Silver,34516,0,0
714659133,"Attrited Customer",47,M,"High School",Married,"$80K - $120K",Blue,9410,0,0
716425833,"Attrited Customer",38,M,Graduate,Single,"$120K +",Blue,34516,1229,0.036
712164333,"Attrited Customer",40,M,"High School",Married,"$60K - $80K",Blue,12544,1636,0.13
826471458,"Attrited Customer",42,M,Graduate,Married,"Less than $40K",Blue,6967,1767,0.254
815851233,"Attrited Customer",52,M,"High School",Single,"$120K +",Blue,19032,0,0
771776808,"Attrited Customer",44,M,Uneducated,Married,"$40K - $60K",Blue,1527,0,0
789365508,"Attrited Customer",49,M,"High School",Divorced,"$40K - $60K",Blue,14839,512,0.035
716404383,"Attrited Customer",47,F,Graduate,Married,Unknown,Blue,18799,2517,0.134
711843708,"Attrited Customer",61,F,Graduate,Divorced,"Less than $40K",Blue,2125,0,0
718877883,"Attrited Customer",44,F,Unknown,Single,"Less than $40K",Blue,5644,2517,0.446
719604858,"Attrited Customer",45,F,Unknown,Married,"Less than $40K",Blue,5941,0,0
714549558,"Attrited Customer",41,F,Graduate,Married,"$40K - $60K",Blue,9576,0,0
822955008,"Attrited Customer",63,M,Graduate,Single,"$60K - $80K",Blue,9569,0,0
711275433,"Attrited Customer",47,M,Uneducated,Unknown,Unknown,Blue,18873,0,0
827117808,"Attrited Customer",45,M,Graduate,Single,"$60K - $80K",Blue,9904,2513,0.254
804462633,"Attrited Customer",43,F,"High School",Divorced,"Less than $40K",Blue,7084,0,0
709321908,"Attrited Customer",47,M,"High School",Single,"$80K - $120K",Blue,7498,2319,0.309
712597233,"Attrited Customer",37,M,Uneducated,Unknown,"$40K - $60K",Blue,3250,1721,0.53
719816583,"Attrited Customer",46,M,Doctorate,Married,"$120K +",Blue,8989,552,0.061
713004933,"Attrited Customer",40,M,"High School",Married,"$60K - $80K",Blue,6813,2332,0.342
772466508,"Attrited Customer",45,M,Unknown,Single,"$60K - $80K",Blue,18004,2517,0.14
737921733,"Attrited Customer",62,F,Unknown,Single,"Less than $40K",Blue,1892,1604,0.848
716575758,"Attrited Customer",50,F,College,Unknown,Unknown,Blue,1438,0,0
714097683,"Attrited Customer",55,F,Graduate,Married,"$40K - $60K",Blue,1809,0,0
708121908,"Attrited Customer",48,M,Unknown,Married,"$80K - $120K",Blue,22917,0,0
